HIND Total Household Income (weekly),Negative income,,,,,Nil income,,,,,"$1-$149 ($1-$7,799)",,,,,"$150-$299 ($7,800-$15,599)",,,,,"$300-$399 ($15,600-$20,799)",,,,,"$400-$499 ($20,800-$25,999)",,,,,"$500-$649 ($26,000-$33,799)",,,,,"$650-$799 ($33,800-$41,599)",,,,,"$800-$999 ($41,600-$51,999)",,,,,"$1,000-$1,249 ($52,000-$64,999)",,,,,"$1,250-$1,499 ($65,000-$77,999)",,,,,"$1,500-$1,749 ($78,000-$90,999)",,,,,"$1,750-$1,999 ($91,000-$103,999)",,,,,"$2,000-$2,499 ($104,000-$129,999)",,,,,"$2,500-$2,999 ($130,000-$155,999)",,,,,"$3,000-$3,499 ($156,000-$181,999)",,,,,"$3,500-$3,999 ($182,000-$207,999)",,,,,"$4,000-$4,499 ($208,000-$233,999)",,,,,"$4,500-$4,999 ($234,000-$259,999)",,,,,"$5,000-$5,999 ($260,000-$311,999)",,,,,"$6,000-$7,999 ($312,000-$415,999)",,,,,"$8,000 or more ($416,000 or more)",,,,,Partial income stated,,,,,All incomes not stated,,,,,Not applicable,,,,,Total,,,,
HHCD - 1 Digit Level,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable,One family household,Multiple family household,Non-family household,Non-classifiable,Not applicable
POA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000, NSW",10,0,33,0,0,124,3,411,27,0,34,0,73,14,0,36,0,95,53,0,31,0,109,67,0,66,0,142,47,0,58,0,153,9,0,126,0,160,7,0,140,0,246,14,0,247,7,335,15,0,253,11,311,15,0,229,8,313,20,0,230,8,258,19,0,539,19,579,54,0,375,21,156,5,0,290,11,87,3,0,327,10,553,79,0,180,10,39,7,0,198,6,42,12,0,226,0,37,3,0,276,0,31,18,0,13,6,9,7,0,417,11,289,0,0,43,0,69,611,0,0,0,0,1141,2473,4452,142,4519,2256,2473
"2006, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,0,0,3,6
"2007, NSW",0,0,34,0,0,48,0,359,9,0,4,0,40,0,0,17,0,74,4,0,8,0,71,0,0,23,0,93,4,0,35,0,62,3,0,52,0,79,0,0,49,0,97,4,0,63,0,127,3,0,77,0,87,0,0,74,0,85,0,0,71,3,72,0,0,145,7,156,3,0,90,0,39,0,0,76,3,28,0,0,61,0,69,4,0,32,0,10,0,0,37,0,5,0,0,41,0,7,0,0,25,0,3,0,0,0,0,0,0,0,100,0,72,0,0,7,0,23,115,0,0,0,0,402,247,1129,23,1702,561,247
"2008, NSW",8,0,33,0,0,107,0,648,12,0,20,0,104,0,0,17,0,140,5,0,20,0,119,0,0,23,0,136,3,0,26,0,124,0,0,51,0,122,0,0,64,0,118,9,0,101,0,143,4,0,96,0,143,0,0,83,3,140,3,0,96,0,132,0,0,172,0,230,4,0,148,0,86,0,0,127,0,48,0,0,95,0,134,6,0,52,0,23,0,0,65,0,12,0,0,71,0,24,0,0,67,0,6,0,0,3,0,0,0,0,122,3,142,0,0,11,0,51,153,0,0,0,0,467,428,1644,16,2865,668,428
"2009, NSW",5,0,11,0,0,27,0,85,6,0,11,0,17,0,0,25,0,52,0,0,11,0,83,3,0,35,0,92,0,0,57,0,62,0,0,87,0,88,0,0,70,0,111,3,0,122,0,157,8,0,119,6,137,0,0,127,0,149,6,0,136,4,149,8,0,336,5,345,11,0,242,5,64,0,0,203,7,50,6,0,259,0,300,17,0,169,0,27,0,0,193,7,42,4,0,205,5,27,5,0,269,0,28,4,0,14,0,0,0,0,270,11,169,0,0,31,0,57,85,0,0,0,0,411,527,3016,40,2308,573,527
"2010, NSW",7,0,31,0,0,37,0,164,7,0,18,0,70,4,0,26,0,257,18,0,16,0,406,12,0,50,0,374,9,0,58,0,247,4,0,117,0,283,11,0,134,0,353,8,0,182,0,466,11,0,188,0,476,11,0,159,0,444,7,0,203,4,376,15,0,573,8,941,24,0,476,4,156,4,0,441,0,120,3,0,449,3,880,35,0,258,0,79,5,0,341,0,58,3,0,422,4,100,3,0,560,0,109,4,0,31,8,25,0,0,452,4,397,0,0,43,0,138,149,0,0,0,0,1646,1884,5234,44,6957,1988,1884
"2011, NSW",3,0,21,0,0,27,0,102,7,0,7,0,53,3,0,28,0,141,16,0,10,0,200,17,0,45,0,348,14,0,44,0,277,7,0,94,0,304,6,0,89,0,437,12,0,146,0,556,7,0,147,3,500,12,0,132,0,511,20,0,164,0,401,16,0,383,0,846,31,0,297,0,87,12,0,272,0,75,0,0,282,0,739,33,0,159,0,40,0,0,199,0,35,5,0,260,0,39,12,0,385,0,39,12,0,12,0,4,0,0,373,3,175,4,0,33,0,118,149,0,0,0,0,1258,1839,3574,12,6054,1638,1839
"2015, NSW",3,0,5,0,0,10,0,32,0,0,9,0,11,0,0,8,0,19,3,0,11,0,45,0,0,27,0,74,0,0,33,0,62,0,0,54,0,62,5,0,55,0,96,0,0,60,0,117,3,0,104,6,131,4,0,85,0,149,0,0,93,3,137,4,0,287,10,285,4,0,297,6,79,5,0,262,0,56,0,0,228,0,168,0,0,111,3,25,0,0,129,4,26,0,0,155,3,17,0,0,164,4,23,0,0,10,0,0,0,0,199,3,128,0,0,16,0,44,15,0,0,0,0,343,410,2396,38,1804,389,410
"2016, NSW",0,0,23,0,0,19,0,112,3,0,19,0,38,4,0,15,0,210,4,0,15,0,333,14,0,78,0,336,8,0,39,0,129,0,0,98,0,124,0,0,72,0,133,4,0,92,0,135,9,0,88,0,158,0,0,94,4,148,4,0,103,0,138,3,0,265,0,320,3,0,239,4,91,4,0,210,0,84,0,0,198,0,211,3,0,104,0,43,0,0,149,0,41,0,0,167,0,51,0,0,162,0,35,0,0,13,0,8,0,0,232,8,221,0,0,31,0,134,66,0,0,0,0,638,685,2507,31,3239,767,685
